nameWithOwner,createdAt,pullRequests,releases,updatedAt,primaryLanguage,issues,closedIssues,ageInYears,ageInMonths,releasesMonth,daysFromUpdate
josephmisiti/awesome-machine-learning,15/07/2014 19:11:19,826,0,08/03/2023 14:01:19,Python,80,80,8,105.87736950925927,0.0,0.4877519444444445
socketio/socket.io,11/03/2010 18:24:48,830,55,08/03/2023 13:23:51,TypeScript,3310,3207,12,158.80321210185184,0.3463406015032276,1.1121963888888888
xingshaocheng/architect-awesome,06/04/2018 13:30:58,79,0,08/03/2023 14:15:20,,67,20,4,59.933119509259264,0.0,0.2541408333333333
keras-team/keras,28/03/2015 00:35:42,5948,46,08/03/2023 13:45:35,Python,11657,11379,7,97.1971565462963,0.4732648735263113,0.7499741666666667
jquery/jquery,03/04/2009 15:20:14,2828,5,08/03/2023 09:12:02,JavaScript,2237,2163,13,170.3057491388889,0.029358961898123394,5.309140833333333
h5bp/Front-end-Developer-Interview-Questions,09/02/2012 23:34:10,637,0,08/03/2023 13:28:21,Nunjucks,130,126,11,135.29800839814817,0.0,1.0371963888888889
ansible/ansible,06/03/2012 14:58:02,48708,0,08/03/2023 14:16:11,Python,31208,30560,11,134.71808247222222,0.0,0.23997416666666666
kelseyhightower/nocode,06/02/2018 23:54:00,593,1,08/03/2023 11:44:36,Dockerfile,4463,609,5,62.32032321296297,0.016046129872959235,2.766363055555556
shadowsocks/shadowsocks-windows,14/01/2013 07:54:16,484,55,08/03/2023 13:24:07,C#,2837,2716,10,123.72017506481482,0.4445515856341657,1.1077519444444444
lodash/lodash,07/04/2012 04:11:46,1317,2,08/03/2023 12:41:34,JavaScript,4099,3786,10,133.24378617592595,0.015010080825527858,1.816918611111111
leonardomso/33-js-concepts,04/09/2018 13:27:04,268,0,08/03/2023 14:01:01,JavaScript,51,36,4,54.90195284259259,0.0,0.4927519444444445
tiangolo/fastapi,08/12/2018 08:21:47,2154,145,08/03/2023 14:20:32,Python,3315,3296,4,51.90488802777779,2.7935711935723813,0.16747416666666667
mermaid-js/mermaid,01/11/2014 23:52:32,1804,104,08/03/2023 13:35:45,JavaScript,2287,1416,8,102.08780469444444,1.0187308886823345,0.9138630555555556
nestjs/nest,04/02/2017 20:12:52,6292,81,08/03/2023 14:04:41,TypeScript,4648,4608,6,74.67650839814814,1.0846784582928983,0.43164083333333336
chrislgarry/Apollo-11,03/04/2014 15:45:02,497,0,08/03/2023 14:17:43,Assembly,377,316,8,109.42530469444445,0.0,0.2144186111111111
apache/echarts,03/04/2013 03:18:59,1606,107,08/03/2023 14:16:34,TypeScript,16664,14503,9,121.23977691666666,0.8825486380888488,0.23358527777777777
grafana/grafana,11/12/2013 15:59:56,33529,342,08/03/2023 14:13:20,TypeScript,28600,25689,9,113.18369358333334,3.021636679034484,0.2874741666666667
enaqx/awesome-react,06/08/2014 05:31:44,1236,0,08/03/2023 13:08:32,,93,73,8,104.83269358333334,0.0,1.3674741666666665
gatsbyjs/gatsby,21/05/2015 22:43:05,21309,129,08/03/2023 13:18:01,JavaScript,13824,13755,7,95.42638802777779,1.3518273369253924,1.209418611111111
h5bp/html5-boilerplate,24/01/2010 18:03:24,1558,32,08/03/2023 12:01:08,JavaScript,1300,1291,13,160.34843432407408,0.19956540352197033,2.4908075000000003
DopplerHQ/awesome-interview-questions,28/11/2015 09:48:17,222,0,08/03/2023 13:03:18,,32,29,7,88.72349913888888,0.0,1.4546963888888889
vitejs/vite,21/04/2020 05:03:57,4130,267,08/03/2023 13:33:15,TypeScript,5410,4937,2,35.34812876851852,7.553440855341499,0.9555297222222222
scikit-learn/scikit-learn,17/08/2010 09:43:38,15038,32,08/03/2023 13:54:16,Python,9984,8440,12,153.02608247222224,0.20911467824976004,0.6052519444444444
awesomedata/awesome-public-datasets,20/11/2014 06:20:50,336,0,08/03/2023 13:39:49,,109,47,8,101.27208247222222,0.0,0.8460852777777778
ElemeFE/element,03/09/2016 06:19:26,4997,144,08/03/2023 09:09:05,Vue,17389,15184,6,79.50619358333334,1.8111796516716443,5.3583075000000004
Developer-Y/cs-video-courses,21/10/2016 17:02:11,159,0,08/03/2023 13:55:31,,113,101,6,78.31577691666666,0.0,0.5844186111111112
lydiahallie/javascript-questions,12/06/2019 08:26:27,470,0,08/03/2023 13:10:00,,212,210,3,45.702295435185185,0.0,1.343029722222222
anuraghazra/github-readme-stats,09/07/2020 10:34:22,1373,0,08/03/2023 14:07:23,JavaScript,940,843,2,32.53123062037037,0.0,0.3866408333333334
rails/rails,11/04/2008 02:19:47,31153,91,08/03/2023 08:53:21,Ruby,16180,15820,14,181.87266580555556,0.5003500641338281,5.620529722222222
strapi/strapi,30/09/2015 15:34:48,7516,267,08/03/2023 13:15:15,JavaScript,7473,7197,7,91.26432321296296,2.9255681804264557,1.2555297222222221
Anduin2017/HowToCook,29/02/2020 10:43:49,627,1,08/03/2023 14:17:43,HTML,581,249,3,36.892647287037036,0.027105672092860893,0.2144186111111111
python/cpython,10/02/2017 19:23:51,39438,0,08/03/2023 14:10:58,Python,62502,55714,6,74.50373987962962,0.0,0.32691861111111115
spring-projects/spring-framework,08/12/2010 04:04:45,4140,249,08/03/2023 14:05:15,Java,23144,21937,12,149.44768432407406,1.6661348827597013,0.4221963888888889
sdmg15/Best-websites-a-programmer-should-visit,05/03/2017 20:25:17,1527,0,08/03/2023 13:04:06,,107,70,6,73.70294358333334,0.0,1.4413630555555554
apache/superset,21/07/2015 18:55:34,12853,116,08/03/2023 11:46:06,TypeScript,8931,7857,7,93.51945284259259,1.240383647188843,2.7413630555555555
azl397985856/leetcode,30/03/2018 09:13:51,303,40,08/03/2023 12:57:59,JavaScript,246,241,4,60.309295435185184,0.6632476753602315,1.5433074999999998
TheAlgorithms/Java,16/07/2016 10:21:02,3033,0,08/03/2023 14:09:12,Java,803,797,6,81.00530469444445,0.0,0.3563630555555556
Semantic-Org/Semantic-UI,08/04/2013 23:32:04,878,154,08/03/2023 10:21:02,JavaScript,6205,5251,9,121.16584173148149,1.270985269439906,4.159140833333334
hoppscotch/hoppscotch,21/08/2019 13:15:24,1793,16,08/03/2023 14:07:14,Vue,954,856,3,43.20843432407408,0.37029807375097173,0.3891408333333333
junegunn/fzf,23/10/2013 16:04:23,703,25,08/03/2023 14:09:30,Go,2337,2083,9,114.81455469444444,0.2177424287933913,0.3513630555555556
sindresorhus/awesome-nodejs,11/07/2014 13:35:34,1078,0,08/03/2023 13:55:45,,97,97,8,105.43056395370371,0.0,0.5805297222222222
3b1b/manim,22/03/2015 18:50:58,779,10,08/03/2023 14:17:41,Python,1046,696,7,97.55534173148149,0.10250591943519338,0.2149741666666667
scutan90/DeepLearning-500-questions,27/06/2018 06:36:45,339,0,08/03/2023 14:08:52,JavaScript,181,80,4,57.429906546296294,0.0,0.3619186111111111
syncthing/syncthing,26/11/2013 09:48:21,3695,327,08/03/2023 14:21:37,Go,5079,4734,9,113.12346210185186,2.89064703222734,0.1494186111111111
necolas/normalize.css,04/05/2011 10:20:25,387,0,08/03/2023 12:22:17,CSS,498,455,11,144.33898062037036,0.0,2.1383075000000002
remix-run/react-router,16/05/2014 22:22:51,2766,243,08/03/2023 13:26:06,TypeScript,6899,6838,8,107.77096210185185,2.254781763666045,1.0746963888888887
tesseract-ocr/tesseract,12/08/2014 18:04:59,1520,24,08/03/2023 14:01:32,C++,2472,2099,8,104.98088802777778,0.2286130404388429,0.48414083333333335
psf/requests,13/02/2011 18:38:17,2358,5,08/03/2023 10:46:52,Python,3728,3527,12,147.49572136111112,0.03389928842585603,3.728585277777778
MunGell/awesome-for-beginners,24/10/2015 19:53:36,1122,0,08/03/2023 14:12:59,,120,109,7,90.3205454351852,0.0,0.2933075
ionic-team/ionic-framework,20/08/2013 23:06:02,6039,565,08/03/2023 10:34:32,TypeScript,20635,20164,9,116.71363802777779,4.840908136764019,3.9341408333333336
bradtraversy/design-resources-for-developers,06/05/2020 14:40:35,1153,0,08/03/2023 14:15:03,,83,83,2,35.29444358333333,0.0,0.25886305555555555
microsoft/playwright,15/11/2019 18:32:42,11103,95,08/03/2023 13:46:59,TypeScript,9031,8307,3,40.9321565462963,2.320913629179305,0.7266408333333334
google/material-design-icons,08/10/2014 18:01:28,149,16,08/03/2023 12:05:27,,1229,1027,8,103.0828417314815,0.1552149681872187,2.4188630555555557
ageitgey/face_recognition,03/03/2017 21:52:39,205,2,08/03/2023 12:45:26,Python,1253,572,6,73.72107321296298,0.02712928492267695,1.7524741666666666
fighting41love/funNLP,21/08/2018 11:20:39,22,0,08/03/2023 13:44:04,Python,55,44,4,55.43885099074075,0.0,0.7752519444444445
moment/moment,01/03/2011 02:46:06,2025,0,08/03/2023 09:37:31,JavaScript,4035,3832,12,146.72471210185188,0.0,4.884418611111111
prometheus/prometheus,24/11/2012 11:14:12,6785,248,08/03/2023 11:52:55,Go,4980,4393,10,125.30910099074075,1.9791060508711578,2.6277519444444444
Fndroid/clash_for_windows_pkg,18/10/2018 22:59:10,13,191,08/03/2023 14:21:21,,3818,3627,4,53.884119509259264,3.5446436118749087,0.15386305555555557
